student_id,age,gender,place_of_origin,high_school_avg,admission_test_score,first_semester_grades,socioeconomic_level,has_scholarship,has_loan,dropout
65,23,Female,Otros departamentos,8.0,442.0,2.1,1.0,Yes,Yes,Yes
66,18,Female,Bogotá,4.1,190.0,1.1,3.0,Yes,Yes,No
67,20,Female,Bogotá,4.6,260.0,1.3,6.0,No,No,No
68,17,Female,Cundinamarca,,163.0,4.9,3.0,No,No,No
69,20,Male,Bogotá,5.1,380.0,2.2,5.0,No,No,Yes
70,22,Male,Cundinamarca,7.9,233.0,4.1,4.0,Yes,Yes,Yes
71,18,Female,Bogotá,5.4,279.0,3.5,1.0,No,Yes,No
72,18,Male,Otros departamentos,4.6,380.0,2.5,5.0,Yes,Yes,Yes
73,17,Male,Bogotá,5.5,,,5.0,No,No,No
74,18,Female,Bogotá,8.3,177.0,1.5,6.0,Yes,Yes,Yes
75,21,Male,Cundinamarca,9.1,215.0,3.5,1.0,No,No,No
76,18,Female,Bogotá,9.0,312.0,4.1,6.0,Yes,Yes,No
77,20,Male,Bogotá,6.4,378.0,3.6,1.0,No,No,Yes
78,20,Female,Cundinamarca,8.0,410.0,3.1,6.0,Yes,Yes,Yes
79,23,Female,Otros departamentos,,313.0,1.2,3.0,Yes,Yes,Yes
80,20,Female,Otros departamentos,5.8,436.0,4.9,4.0,Yes,Yes,No
81,23,Female,Cundinamarca,9.4,159.0,4.2,4.0,Yes,No,No
82,20,Male,Cundinamarca,4.1,344.0,2.2,1.0,Yes,No,Yes
83,21,Female,Cundinamarca,,267.0,,2.0,Yes,Yes,No
84,24,Female,Cundinamarca,5.2,419.0,3.4,5.0,Yes,Yes,Yes
85,23,Female,Cundinamarca,4.2,229.0,3.3,5.0,No,Yes,No
86,19,Male,Otros departamentos,5.1,242.0,4.0,1.0,No,No,No
87,22,Female,Otros departamentos,7.5,415.0,4.2,6.0,No,Yes,No
88,17,Male,Cundinamarca,6.5,406.0,3.6,2.0,No,Yes,No
89,20,Female,Bogotá,9.4,282.0,1.5,3.0,No,Yes,Yes
90,18,Male,Cundinamarca,8.9,425.0,2.4,6.0,Yes,Yes,Yes
91,24,Male,Bogotá,6.1,413.0,4.7,6.0,Yes,No,No
92,20,Female,Cundinamarca,5.6,320.0,1.9,1.0,Yes,No,No
93,18,Male,Cundinamarca,6.3,,2.5,1.0,Yes,Yes,Yes
94,22,Female,Otros departamentos,7.5,213.0,2.7,5.0,Yes,Yes,No
95,22,Female,Bogotá,5.6,433.0,2.8,1.0,No,No,No
96,22,Female,Bogotá,7.7,270.0,3.5,1.0,No,No,No
97,18,Male,Otros departamentos,6.5,256.0,4.8,1.0,No,Yes,No
98,20,Male,Otros departamentos,,324.0,2.0,5.0,No,No,Yes
99,22,Female,Otros departamentos,6.6,353.0,1.5,3.0,Yes,No,Yes
100,21,Female,Otros departamentos,5.8,314.0,1.8,3.0,Yes,Yes,Yes
101,23,Male,Bogotá,9.7,269.0,4.5,1.0,Yes,No,No
102,18,Female,Bogotá,8.6,193.0,3.6,5.0,No,No,No
103,18,Female,Cundinamarca,4.8,305.0,2.1,3.0,Yes,Yes,Yes
104,20,Female,Cundinamarca,9.2,356.0,4.3,6.0,No,Yes,No
105,18,Male,Otros departamentos,6.9,257.0,4.4,3.0,Yes,No,No
106,18,Male,Otros departamentos,9.4,400.0,,3.0,Yes,Yes,Yes
107,22,Male,Otros departamentos,8.8,279.0,4.7,5.0,No,No,No
108,20,Female,Cundinamarca,6.6,442.0,2.0,6.0,Yes,Yes,No
109,22,Female,Cundinamarca,4.1,169.0,4.0,5.0,Yes,No,No
110,23,Female,Cundinamarca,5.6,431.0,2.8,1.0,No,Yes,Yes
111,24,Male,Cundinamarca,7.2,434.0,4.4,4.0,Yes,No,No
112,23,Female,Cundinamarca,7.8,150.0,3.9,3.0,No,No,Yes
113,24,Female,Cundinamarca,5.5,268.0,4.1,4.0,Yes,No,No
114,22,Female,Cundinamarca,4.8,184.0,3.6,5.0,Yes,Yes,No
115,23,Female,Otros departamentos,9.0,347.0,1.7,5.0,Yes,Yes,Yes
116,20,Male,Otros departamentos,9.9,394.0,3.2,5.0,Yes,No,Yes
117,17,Male,Otros departamentos,7.2,208.0,4.9,4.0,Yes,No,Yes
118,22,Female,Otros departamentos,5.0,310.0,4.7,5.0,Yes,Yes,No
119,24,Male,Cundinamarca,5.6,328.0,1.2,1.0,Yes,Yes,Yes
120,21,Male,Bogotá,4.1,355.0,1.7,5.0,Yes,Yes,Yes
121,24,Female,Cundinamarca,9.5,161.0,1.5,2.0,No,Yes,Yes
122,21,Female,Bogotá,4.7,425.0,3.9,4.0,No,Yes,No
123,18,Male,Otros departamentos,7.5,330.0,4.3,2.0,Yes,Yes,No
124,23,Female,Cundinamarca,5.6,391.0,1.9,5.0,Yes,No,Yes
125,21,Male,Otros departamentos,7.3,365.0,3.0,1.0,No,Yes,No
126,24,Female,Cundinamarca,7.9,400.0,4.4,3.0,Yes,No,No
127,18,Male,Otros departamentos,9.0,,3.9,6.0,Yes,Yes,No
128,17,Female,Bogotá,5.2,275.0,3.2,6.0,No,Yes,No
129,20,Male,Bogotá,4.1,366.0,3.4,5.0,Yes,No,No
130,20,Male,Bogotá,4.8,434.0,3.0,1.0,Yes,No,No
131,20,Male,Cundinamarca,9.4,334.0,2.2,4.0,No,Yes,Yes
132,21,Female,Bogotá,9.2,,3.3,2.0,Yes,No,Yes
133,17,Male,Cundinamarca,7.6,372.0,3.8,2.0,Yes,No,Yes
134,21,Male,Bogotá,7.6,333.0,4.5,2.0,No,No,No
135,23,Female,Bogotá,8.0,327.0,3.5,4.0,Yes,No,No
136,21,Female,Cundinamarca,5.1,443.0,4.0,6.0,No,Yes,No
137,17,Male,Cundinamarca,9.5,300.0,,1.0,Yes,No,No
138,17,Male,Bogotá,6.5,275.0,,4.0,Yes,Yes,No
139,23,Female,Cundinamarca,6.3,383.0,1.0,2.0,No,Yes,Yes
140,17,Female,Bogotá,7.1,157.0,2.0,5.0,No,Yes,Yes
141,24,Female,Cundinamarca,4.3,278.0,3.9,3.0,Yes,Yes,No
142,17,Female,Otros departamentos,5.0,413.0,5.0,4.0,No,No,No
143,20,Female,Otros departamentos,8.4,306.0,1.4,4.0,No,No,Yes
144,24,Male,Otros departamentos,4.5,154.0,2.6,1.0,Yes,Yes,Yes
145,24,Female,Otros departamentos,7.6,235.0,,1.0,Yes,Yes,Yes
146,23,Male,Otros departamentos,5.5,324.0,1.8,4.0,Yes,Yes,Yes
147,19,Male,Bogotá,6.3,439.0,3.2,2.0,No,Yes,No
148,19,Male,Otros departamentos,5.7,342.0,3.9,3.0,No,No,No
149,17,Female,Otros departamentos,6.1,268.0,3.5,1.0,No,Yes,Yes
150,24,Male,Otros departamentos,,367.0,1.8,2.0,No,No,Yes
151,19,Male,Otros departamentos,5.8,263.0,2.4,5.0,Yes,Yes,Yes
152,19,Female,Cundinamarca,7.4,294.0,4.1,1.0,No,Yes,No
153,17,Male,Bogotá,6.9,175.0,3.2,2.0,Yes,Yes,No
154,19,Male,Otros departamentos,,285.0,1.0,2.0,No,Yes,Yes
155,21,Female,Otros departamentos,9.6,381.0,4.0,3.0,Yes,No,No
156,18,Male,Otros departamentos,8.4,225.0,1.1,3.0,Yes,No,Yes
157,23,Male,Bogotá,5.3,438.0,4.0,5.0,Yes,No,Yes
158,18,Male,Cundinamarca,4.2,150.0,1.8,2.0,No,Yes,Yes
159,17,Female,Bogotá,5.6,296.0,4.8,6.0,Yes,Yes,No
160,20,Female,Cundinamarca,7.6,436.0,2.5,2.0,Yes,No,Yes
161,23,Female,Otros departamentos,4.3,291.0,2.3,3.0,No,No,No
162,17,Male,Otros departamentos,7.0,202.0,1.6,6.0,Yes,Yes,Yes
163,24,Male,Bogotá,7.6,218.0,2.2,1.0,No,Yes,No
164,20,Female,Bogotá,6.0,239.0,,1.0,No,No,No
165,18,Male,Cundinamarca,8.6,369.0,5.0,4.0,Yes,Yes,No
166,17,Male,Cundinamarca,4.6,341.0,,3.0,Yes,Yes,No
167,24,Female,Bogotá,4.5,212.0,2.8,4.0,No,No,Yes
168,23,Female,Cundinamarca,8.4,222.0,3.9,6.0,Yes,Yes,No
169,23,Male,Bogotá,7.0,310.0,4.5,3.0,No,No,No
170,22,Male,Cundinamarca,8.1,318.0,3.4,,No,Yes,No
171,24,Male,Bogotá,6.6,238.0,2.6,2.0,No,No,No
172,21,Female,Bogotá,5.5,325.0,2.7,5.0,Yes,Yes,No
173,19,Female,Bogotá,8.9,418.0,3.8,6.0,No,No,No
174,20,Female,Cundinamarca,8.8,222.0,1.0,3.0,Yes,No,Yes
175,24,Female,Cundinamarca,8.2,394.0,3.5,6.0,Yes,No,No
176,22,Male,Cundinamarca,5.6,226.0,,2.0,Yes,No,No
177,19,Female,Bogotá,7.5,308.0,4.2,1.0,Yes,Yes,Yes
178,19,Female,Cundinamarca,6.2,,1.4,1.0,No,Yes,Yes
179,17,Female,Cundinamarca,4.5,251.0,3.4,6.0,Yes,No,No
180,19,Female,Bogotá,9.5,281.0,2.9,4.0,No,Yes,No
181,21,Female,Otros departamentos,4.8,251.0,3.6,3.0,No,Yes,No
182,23,Male,Bogotá,9.7,168.0,1.3,3.0,Yes,Yes,Yes
183,22,Male,Cundinamarca,6.7,231.0,3.3,1.0,No,Yes,Yes
184,19,Female,Bogotá,5.1,428.0,3.2,5.0,No,Yes,No
185,17,Male,Otros departamentos,7.3,278.0,3.2,2.0,Yes,No,No
186,21,Female,Bogotá,9.2,238.0,3.4,5.0,No,No,Yes
187,18,Female,Cundinamarca,8.4,362.0,3.7,5.0,No,No,Yes
188,23,Male,Otros departamentos,8.8,292.0,4.2,6.0,No,No,No
189,23,Male,Cundinamarca,8.0,214.0,2.1,1.0,No,Yes,Yes
190,22,Female,Otros departamentos,8.2,225.0,4.3,1.0,Yes,Yes,No
191,23,Female,Otros departamentos,9.1,348.0,3.0,1.0,No,No,No
192,19,Female,Bogotá,5.5,292.0,1.3,6.0,No,Yes,Yes
193,17,Male,Bogotá,6.9,242.0,1.2,4.0,No,Yes,Yes
194,23,Female,Cundinamarca,5.3,373.0,2.3,5.0,No,No,Yes
195,23,Female,Bogotá,9.9,440.0,4.1,6.0,Yes,Yes,No
196,18,Female,Bogotá,9.7,251.0,3.8,3.0,No,No,No
197,18,Male,Otros departamentos,4.2,416.0,4.2,2.0,Yes,No,Yes
198,20,Female,Bogotá,8.2,259.0,3.1,4.0,No,Yes,Yes
199,21,Female,Otros departamentos,9.6,414.0,2.8,3.0,Yes,Yes,No
200,19,Male,Otros departamentos,5.1,152.0,1.6,5.0,Yes,No,Yes
201,23,Female,Otros departamentos,7.4,234.0,2.3,1.0,Yes,No,No
202,24,Female,Cundinamarca,9.5,431.0,2.7,5.0,Yes,Yes,Yes
203,23,Male,Cundinamarca,4.2,266.0,1.4,6.0,Yes,No,Yes
204,17,Female,Cundinamarca,8.2,370.0,1.9,2.0,No,No,Yes
205,20,Male,Otros departamentos,5.8,303.0,3.4,6.0,No,No,No
206,21,Male,Cundinamarca,9.5,302.0,3.9,4.0,No,Yes,No
207,24,Female,Cundinamarca,9.8,161.0,5.0,4.0,Yes,No,No
208,20,Female,Bogotá,9.7,282.0,4.7,2.0,No,Yes,No
209,22,Female,Cundinamarca,6.8,442.0,3.6,3.0,Yes,No,No
210,21,Female,Cundinamarca,9.2,449.0,2.7,3.0,Yes,Yes,Yes
211,23,Male,Otros departamentos,9.1,377.0,3.5,4.0,No,No,No
212,23,Female,Otros departamentos,5.9,420.0,4.1,4.0,No,Yes,No
213,21,Male,Otros departamentos,9.0,192.0,1.5,1.0,Yes,Yes,No
214,23,Female,Otros departamentos,4.2,170.0,2.6,3.0,Yes,Yes,No
215,19,Female,Otros departamentos,7.6,256.0,4.4,2.0,No,No,No
216,21,Female,Otros departamentos,5.4,266.0,2.5,3.0,No,No,Yes
217,20,Male,Cundinamarca,4.7,273.0,3.3,1.0,No,No,No
218,21,Female,Otros departamentos,4.5,430.0,3.4,6.0,No,Yes,No
219,24,Female,Otros departamentos,8.2,441.0,1.7,4.0,Yes,No,Yes
220,23,Female,Bogotá,6.0,352.0,2.4,4.0,No,Yes,No
221,19,Female,Cundinamarca,8.3,200.0,2.3,1.0,No,No,Yes
222,19,Male,Cundinamarca,4.4,420.0,1.1,2.0,No,Yes,Yes
223,22,Female,Cundinamarca,5.9,426.0,1.1,4.0,Yes,Yes,No
224,20,Male,Otros departamentos,7.2,290.0,4.3,5.0,Yes,Yes,No
225,18,Male,Otros departamentos,8.7,424.0,2.1,4.0,Yes,No,No
226,18,Male,Otros departamentos,5.9,439.0,3.1,5.0,Yes,No,Yes
227,21,Male,Bogotá,7.8,201.0,2.2,1.0,No,No,Yes
228,22,Male,Otros departamentos,9.3,176.0,4.8,1.0,Yes,Yes,No
229,17,Male,Bogotá,7.7,306.0,2.0,4.0,No,Yes,No
230,21,Female,Cundinamarca,5.4,388.0,2.7,3.0,No,No,Yes
231,22,Male,Otros departamentos,4.1,305.0,4.5,5.0,No,No,No
232,20,Male,Bogotá,9.2,440.0,4.4,2.0,No,No,No
233,20,Male,Bogotá,4.1,285.0,1.7,4.0,Yes,Yes,Yes
234,20,Female,Otros departamentos,9.2,293.0,4.2,2.0,Yes,Yes,No
235,20,Female,Cundinamarca,7.2,255.0,2.8,4.0,Yes,Yes,Yes
236,20,Male,Cundinamarca,9.6,307.0,2.9,3.0,No,Yes,Yes
237,22,Female,Cundinamarca,8.8,295.0,,3.0,No,Yes,No
238,22,Male,Bogotá,10.0,151.0,1.3,3.0,No,No,Yes
239,19,Male,Bogotá,6.1,226.0,3.9,6.0,No,Yes,No
240,24,Female,Bogotá,8.6,281.0,3.0,3.0,No,Yes,Yes
241,18,Male,Bogotá,6.4,239.0,2.7,1.0,Yes,Yes,No
242,23,Female,Cundinamarca,6.9,412.0,3.9,1.0,No,Yes,No
243,20,Female,Otros departamentos,7.8,257.0,4.1,6.0,Yes,Yes,No
244,17,Male,Bogotá,9.2,,1.6,5.0,No,No,Yes
245,23,Male,Bogotá,9.9,188.0,3.4,2.0,No,Yes,No
246,22,Female,Cundinamarca,8.6,308.0,1.5,4.0,Yes,Yes,Yes
247,17,Male,Otros departamentos,6.5,220.0,4.0,4.0,Yes,Yes,No
248,17,Male,Otros departamentos,,390.0,3.6,,No,No,No
249,17,Male,Cundinamarca,8.4,447.0,4.8,1.0,No,No,No
250,19,Female,Cundinamarca,5.4,185.0,1.3,4.0,No,No,Yes
251,22,Female,Otros departamentos,4.7,233.0,1.2,1.0,No,Yes,Yes
252,17,Male,Bogotá,6.1,412.0,2.1,5.0,Yes,No,Yes
253,20,Female,Otros departamentos,5.7,321.0,2.0,2.0,No,Yes,No
254,21,Female,Cundinamarca,5.8,322.0,2.0,5.0,Yes,Yes,Yes
255,17,Female,Bogotá,5.4,196.0,4.6,6.0,No,No,No
256,19,Female,Bogotá,4.3,290.0,2.0,3.0,Yes,Yes,Yes
257,23,Female,Cundinamarca,4.1,267.0,2.1,3.0,Yes,Yes,Yes
258,22,Male,Cundinamarca,9.9,426.0,4.0,3.0,No,Yes,Yes
259,24,Male,Cundinamarca,6.6,363.0,2.8,5.0,Yes,No,Yes
260,19,Male,Otros departamentos,6.3,369.0,4.1,4.0,No,Yes,Yes
261,17,Female,Otros departamentos,8.1,175.0,1.3,2.0,Yes,Yes,Yes
262,22,Female,Bogotá,5.3,158.0,,3.0,No,No,No
263,21,Male,Cundinamarca,9.7,420.0,1.1,6.0,Yes,Yes,No
264,17,Female,Bogotá,8.7,159.0,1.3,6.0,No,Yes,No
265,19,Male,Bogotá,4.5,270.0,4.6,3.0,No,No,Yes
266,18,Male,Bogotá,,274.0,1.6,3.0,Yes,Yes,Yes
267,20,Male,Bogotá,9.3,319.0,3.1,2.0,Yes,Yes,No
268,24,Female,Cundinamarca,9.7,221.0,2.6,3.0,Yes,Yes,Yes
269,23,Female,Bogotá,6.8,301.0,2.4,2.0,Yes,Yes,Yes
270,19,Male,Cundinamarca,7.7,357.0,4.6,6.0,No,Yes,No
271,22,Male,Cundinamarca,5.0,,1.1,3.0,Yes,No,Yes
272,24,Male,Otros departamentos,9.9,303.0,3.7,5.0,No,No,No
273,24,Male,Cundinamarca,5.4,442.0,4.9,,Yes,No,No
274,24,Female,Otros departamentos,9.7,217.0,3.2,6.0,No,No,No
275,17,Female,Cundinamarca,7.9,199.0,4.7,2.0,No,Yes,No
276,20,Male,Cundinamarca,7.6,301.0,1.2,5.0,No,Yes,Yes
277,17,Male,Cundinamarca,7.1,168.0,2.7,2.0,No,Yes,Yes
278,22,Female,Otros departamentos,,249.0,2.0,5.0,Yes,Yes,Yes
279,17,Female,Otros departamentos,5.1,209.0,3.9,5.0,Yes,Yes,No
280,18,Male,Bogotá,5.3,316.0,4.9,2.0,No,No,No
281,20,Male,Otros departamentos,5.1,351.0,2.0,4.0,Yes,No,No
282,20,Male,Otros departamentos,8.7,295.0,3.6,5.0,Yes,Yes,No
283,22,Female,Otros departamentos,6.1,313.0,,3.0,No,Yes,No
284,23,Female,Otros departamentos,,391.0,3.3,6.0,Yes,Yes,No
285,18,Female,Bogotá,9.8,218.0,2.9,4.0,Yes,No,No
286,19,Male,Otros departamentos,9.3,324.0,4.9,2.0,Yes,Yes,No
287,17,Male,Cundinamarca,9.6,198.0,3.4,4.0,No,Yes,No
288,21,Female,Cundinamarca,10.0,257.0,,1.0,Yes,Yes,No
289,17,Female,Otros departamentos,5.0,375.0,1.5,1.0,No,No,Yes
290,24,Male,Otros departamentos,6.4,310.0,1.6,5.0,Yes,Yes,Yes
291,17,Female,Cundinamarca,8.5,268.0,1.9,5.0,Yes,No,No
292,19,Female,Cundinamarca,8.2,298.0,2.0,3.0,Yes,No,Yes
293,17,Male,Bogotá,4.9,299.0,4.4,6.0,No,No,No
294,18,Female,Cundinamarca,8.9,442.0,3.2,4.0,No,No,No
295,18,Male,Cundinamarca,5.3,292.0,3.1,1.0,Yes,No,No
296,20,Male,Otros departamentos,5.3,309.0,1.5,5.0,No,No,No
297,22,Male,Cundinamarca,7.2,160.0,4.4,6.0,Yes,Yes,No
298,23,Male,Bogotá,7.6,287.0,3.9,4.0,No,Yes,No
299,21,Male,Cundinamarca,7.5,227.0,1.3,5.0,No,Yes,Yes
300,24,Male,Otros departamentos,4.5,226.0,3.8,5.0,Yes,No,No
301,17,Male,Otros departamentos,,403.0,3.2,1.0,Yes,Yes,Yes
302,17,Female,Cundinamarca,5.6,407.0,1.3,1.0,Yes,No,Yes
303,19,Male,Otros departamentos,4.8,440.0,2.8,5.0,Yes,No,No
304,22,Male,Bogotá,9.3,412.0,2.9,2.0,No,No,Yes
305,18,Female,Bogotá,9.7,234.0,,5.0,No,Yes,No
306,21,Female,Cundinamarca,9.2,295.0,4.8,6.0,No,No,No
307,20,Female,Cundinamarca,8.9,191.0,4.4,5.0,Yes,No,No
308,18,Male,Cundinamarca,7.9,274.0,3.7,3.0,Yes,Yes,No
309,24,Female,Otros departamentos,,316.0,2.8,3.0,No,Yes,No
310,22,Male,Bogotá,4.5,390.0,2.6,3.0,Yes,No,Yes
311,24,Male,Bogotá,6.5,429.0,3.6,2.0,No,No,No
312,23,Male,Otros departamentos,6.2,337.0,3.2,2.0,No,Yes,No
313,20,Male,Bogotá,5.6,168.0,1.2,5.0,No,Yes,No
314,23,Female,Cundinamarca,8.3,217.0,3.1,3.0,No,Yes,Yes
315,19,Female,Cundinamarca,,367.0,4.2,2.0,No,No,No
316,24,Male,Cundinamarca,4.5,251.0,2.8,1.0,Yes,Yes,Yes
317,19,Male,Bogotá,5.3,191.0,1.2,5.0,Yes,Yes,No
318,17,Male,Cundinamarca,8.1,437.0,4.1,6.0,Yes,Yes,Yes
319,23,Female,Otros departamentos,4.5,316.0,1.8,4.0,No,No,Yes
320,22,Male,Otros departamentos,9.1,258.0,2.0,5.0,No,Yes,No
321,24,Male,Bogotá,7.0,185.0,1.7,4.0,No,Yes,No
322,21,Female,Otros departamentos,6.9,381.0,2.3,3.0,No,Yes,Yes
323,20,Female,Otros departamentos,7.6,378.0,4.0,4.0,Yes,Yes,No
324,18,Male,Bogotá,8.9,313.0,3.1,3.0,Yes,Yes,No
325,22,Female,Cundinamarca,6.1,222.0,1.8,1.0,No,No,Yes
326,22,Female,Cundinamarca,8.1,285.0,4.5,4.0,No,No,Yes
327,19,Male,Cundinamarca,7.4,219.0,4.5,5.0,No,No,Yes
328,23,Female,Bogotá,5.6,345.0,4.5,3.0,Yes,Yes,No
329,24,Male,Otros departamentos,9.3,418.0,2.0,5.0,Yes,No,Yes
330,24,Female,Cundinamarca,8.8,198.0,,2.0,Yes,No,No
331,17,Male,Cundinamarca,8.0,279.0,4.9,3.0,No,No,Yes
332,17,Male,Bogotá,9.1,154.0,4.1,4.0,No,Yes,No
333,20,Male,Cundinamarca,9.2,176.0,1.1,3.0,Yes,Yes,No
334,19,Female,Bogotá,8.3,309.0,1.3,5.0,No,No,Yes
335,22,Male,Otros departamentos,9.0,298.0,2.9,1.0,Yes,No,No
336,24,Female,Bogotá,8.2,413.0,4.6,3.0,No,Yes,No
337,21,Male,Bogotá,8.1,379.0,3.2,4.0,Yes,Yes,Yes
338,19,Male,Bogotá,7.7,349.0,3.0,2.0,No,No,No
339,20,Female,Bogotá,8.5,199.0,1.4,6.0,Yes,Yes,Yes
340,20,Male,Otros departamentos,5.0,216.0,3.6,1.0,Yes,No,No
341,19,Male,Otros departamentos,9.3,,4.3,2.0,Yes,Yes,No
342,20,Female,Cundinamarca,9.2,207.0,2.5,3.0,Yes,No,Yes
343,19,Male,Otros departamentos,4.2,408.0,4.1,5.0,Yes,No,No
344,18,Male,Otros departamentos,9.0,279.0,4.9,5.0,Yes,Yes,No
345,19,Male,Cundinamarca,4.8,364.0,1.8,4.0,No,No,Yes
346,23,Male,Otros departamentos,6.0,321.0,3.1,5.0,No,No,No
347,19,Female,Bogotá,8.5,407.0,2.1,1.0,No,No,Yes
348,20,Female,Bogotá,5.0,251.0,4.2,,Yes,Yes,Yes
349,24,Male,Cundinamarca,8.9,358.0,3.3,4.0,Yes,Yes,No
350,23,Female,Cundinamarca,9.0,440.0,3.5,6.0,No,Yes,No
351,20,Male,Cundinamarca,7.0,435.0,4.2,3.0,Yes,No,Yes
352,17,Female,Bogotá,4.0,265.0,2.6,3.0,Yes,Yes,Yes
353,17,Male,Otros departamentos,5.7,413.0,4.7,5.0,Yes,No,Yes
354,24,Male,Bogotá,7.7,299.0,3.1,2.0,Yes,No,No
355,24,Male,Cundinamarca,9.9,449.0,1.6,3.0,Yes,Yes,Yes
356,23,Male,Otros departamentos,,185.0,3.8,6.0,No,Yes,Yes
